Alarm ID,Alarm Type,Time,Status,Severity,Device ID,Description,Occurance
10605,c8y_UnavailabilityAlarm,1 Aug. 14:14:51,CLEARED,MAJOR,18004508,No data received from device within required interval.,1,
71502,c8y_UnavailabilityAlarm,2 Aug. 09:16:23,CLEARED,MAJOR,18004508,No data received from device within required interval.,1,
71508,TestAlarm1,2 Aug. 09:26:51,CLEARED,MINOR,18004508,I am an alarm,1,
71510,TestAlarm1,2 Aug. 09:27:15,CLEARED,CRITICAL,18004508,I am an alarm,5,
72398,TestAlarm1,2 Aug. 09:28:26,CLEARED,MINOR,18004508,I am an alarm,3,
71515,TestAlarm2,2 Aug. 09:29:12,CLEARED,WARNING,18004508,I am an alarm2,1,
72473,Connection Error,2 Aug. 09:29:45,CLEARED,MAJOR,18004508,Broker disconnected from server,1,
72646,c8y_UnavailabilityAlarm,2 Aug. 09:32:58,CLEARED,MAJOR,18004508,No data received from device within required interval.,1,
72919,Potential Malware,2 Aug. 09:38:03,CLEARED,CRITICAL,18004508,Possible virus in Device,1,
71517,Max value,2 Aug. 09:38:39,CLEARED,WARNING,18004508,Value overflow,1,
73096,c8y_UnavailabilityAlarm,2 Aug. 09:41:14,CLEARED,MAJOR,18004508,No data received from device within required interval.,1,
71521,Connection Error,2 Aug. 10:09:52,CLEARED,MAJOR,18004508,Broker disconnected from server,1,
71524,c8y_UnavailabilityAlarm,2 Aug. 10:13:21,CLEARED,MAJOR,18004508,No data received from device within required interval.,1,
166694,Potential Malware,3 Aug. 14:41:13,CLEARED,CRITICAL,18004508,Possible virus in Device,1,
166978,c8y_UnavailabilityAlarm,3 Aug. 14:44:30,CLEARED,MAJOR,18004508,No data received from device within required interval.,1,
166709,c8y_UnavailabilityAlarm,3 Aug. 15:20:22,ACTIVE,MAJOR,18004508,No data received from device within required interval.,1,
