Time,VD1012,VD1016,VD1020,VD1024,VD1028,VD1032,VD1036,VD1040,VD2124
3 Aug. 15:16:38,122,122,132,142,152,147,251,455,0
3 Aug. 15:16:48,222,222,232,242,252,247,351,555,0
3 Aug. 15:16:58,322,322,332,342,352,347,451,655,0
3 Aug. 15:17:08,422,422,432,442,452,447,551,755,0
3 Aug. 15:17:18,522,522,532,542,552,547,651,855,0
3 Aug. 15:17:28,32,32,42,52,62,57,161,365,0
3 Aug. 15:17:38,132,132,142,152,162,157,261,465,0
3 Aug. 15:17:48,232,232,242,252,262,257,361,565,0
3 Aug. 15:17:58,332,332,342,352,362,357,461,665,0
3 Aug. 15:18:08,432,432,442,452,462,457,561,765,0
3 Aug. 15:18:18,532,532,542,552,562,557,661,865,0
3 Aug. 15:18:28,42,42,52,62,72,67,171,375,0
3 Aug. 15:18:38,142,142,152,162,172,167,271,475,0
3 Aug. 15:18:48,242,242,252,262,272,267,371,575,0
3 Aug. 15:18:58,332,332,342,352,362,357,461,665,0
3 Aug. 15:19:08,442,442,452,462,472,467,571,775,0
3 Aug. 15:19:18,542,542,552,562,572,567,671,875,0
3 Aug. 15:19:28,52,52,62,72,82,77,181,385,0
3 Aug. 15:19:38,152,152,162,172,182,177,281,485,0
3 Aug. 15:19:48,252,252,262,272,282,277,381,585,0
3 Aug. 15:19:58,352,352,362,372,382,377,481,685,0
3 Aug. 15:20:08,452,452,462,472,482,477,581,785,0
3 Aug. 15:20:18,552,552,562,572,582,577,681,885,0
3 Aug. 15:20:28,62,62,72,82,92,87,191,395,0
3 Aug. 15:20:38,162,162,172,182,192,187,291,495,0
3 Aug. 15:20:48,262,262,272,282,292,287,391,595,0
3 Aug. 15:20:58,362,362,372,382,392,387,491,695,0
3 Aug. 15:21:08,462,462,472,482,492,487,591,795,0
3 Aug. 15:21:18,562,562,572,582,592,587,691,895,0
3 Aug. 15:21:28,72,72,82,92,102,97,201,405,0
3 Aug. 15:21:38,172,172,182,192,202,197,301,505,0
3 Aug. 15:21:48,272,272,282,292,302,297,401,605,0
3 Aug. 15:21:58,372,372,382,392,402,397,501,705,0
3 Aug. 15:22:08,472,472,482,492,502,497,601,805,0
3 Aug. 15:22:18,572,572,582,592,602,597,701,905,0
3 Aug. 15:22:28,82,82,92,102,112,107,211,415,0
3 Aug. 15:22:38,182,182,192,202,212,207,311,515,0
3 Aug. 15:22:48,282,282,292,302,312,307,411,615,0
3 Aug. 15:22:58,382,382,392,402,412,407,511,715,0
3 Aug. 15:23:08,482,482,492,502,512,507,611,815,0
3 Aug. 15:23:18,582,582,592,602,612,607,711,915,0
3 Aug. 15:23:28,92,92,102,112,122,117,221,425,0
3 Aug. 15:23:38,192,192,202,212,222,217,321,525,0
3 Aug. 15:23:48,292,292,302,312,322,317,421,625,0
3 Aug. 15:23:58,402,402,412,422,432,427,531,735,0
3 Aug. 15:24:08,502,502,512,522,532,527,631,835,0
3 Aug. 15:24:18,602,602,612,622,632,627,731,935,0
3 Aug. 15:24:28,112,112,122,132,142,137,241,445,0
